,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
11,berry,0,10.5159,4.3252,0.2921,20.2881,0,37.7434,0,0,107.6648,2007.2172,0.1745,0,0,35.3123,0,0,0.0222,1.7235,0.2657,8.8786,6.8415,0,0,50.2665,0,944.1769,0,105.4017,24.2724,0,21.4151,0,96.1991,0,31.1579,0,128.2962,0,48.7406,0,0,0,0,0,289.6656,133.8327,0,0.3385,15.4954,0,0,0,16.741,15.4954,0,0,0,112.5654,0,0,155.4195,245.4008,0,0,65.9874,253.7013,0,110.1853,179.7721,58.2816
12,berry,0,1.4992,7.5417,0.0654,21.7621,0,33.4986,0,0,106.4893,1784.9288,0.0293,4.174,0,38.0517,0,0.0617,0,0.9709,0.0986,5.0204,7.35,0,0.3635,45.7472,0,646.7057,0,67.7671,47.7057,0,20.8362,0,116.7645,0,40.896,0,144.1862,0,61.2311,0,0,0,4.4282,0,224.8542,122.7518,0,0,16.9194,0,0,0,33.502,16.9194,0,0,0,120.8548,0,0,157.3406,141.3285,0,0,171.8787,107.7057,0,44.2717,0,56.8812
13,berry,0,15.5555,10.3479,6.988,29.1136,0,29.2443,0,0,95.9918,1631.9171,8.5066,1.0101,0,202.5491,0,0.4371,6.5107,2.1729,13.7631,12.5731,37.3959,0,13.4963,52.8725,0,678.3202,0,91.4801,166.3806,0,203.9406,0,264.4219,0,269.9828,15.6319,318.2282,0,399.2444,46.8585,0,0,44.9607,16.429,406.2176,566.8688,49.4482,24.415,110.4814,0,0,0,36.9184,105.7171,0,0,0,72.1251,0,0,111.7048,75.054,0,0,126.2468,60.9838,0,25.9446,4.6809,21.2296
14,berry,0,24.1345,14.7194,1.6038,47.0915,0,43.5413,0,0,128.5288,2243.0013,5.3557,11.6141,0,164.8809,0,0.3292,6.5289,2.4205,15.0761,16.2458,26.1203,0,1.9047,72.4261,0,214.9635,0,138.4802,118.2431,0,136.9306,0,195.8297,0,174.8045,9.4012,249.8186,0,251.7706,0,0,0,30.1309,11.0428,434.7827,469.6783,36.8784,18.9262,81.1102,0,0,0,77.8668,81.1102,0,0,0,124.2002,0,0,191.8226,246.0601,0,0,4.8021,87.8659,0,38.7445,53.1412,0
15,berry,0,23.2368,5.0152,7.6591,62.5349,0,39.4359,0,0,556.8782,1785.2024,4.4691,1.5572,0,16.5921,0,0.0695,0,2.2956,0,6.1622,29.4793,0,8.0461,54.5785,0,163.0886,0,119.2379,45.3284,0,12.5926,0,97.4378,0,13.2941,0,130.3191,0,24.8473,0,0,0,0.7937,0,318.1504,76.1052,0,0.1942,10.5485,0,0,0,56.9958,10.5485,0,0,0,169.4621,0,0,239.156,364.1304,0,0,8.2654,209.3686,0,90.5009,133.0992,13.1053
16,berry,0,19.7007,12.7557,5.4195,34.6826,0,37.2625,0,0,127.9384,2016.2507,2.7913,17.9086,0,180.2063,0,0.1058,7.0668,0.5116,17.2699,13.1255,21.2229,0,1.3296,72.1388,0,184.3867,0,127.1644,153.5676,0,206.8045,0,210.6456,0,257.9643,16.1503,268.9238,0,353.3875,0,0,0,49.513,15.8605,445.6335,643.2448,58.8081,31.2582,123.6271,0,0,0,80.2599,123.6271,0,0,0,108.7324,0,0,156.7027,205.4845,0,0,35.7926,91.2213,0,38.5253,52.6431,5.8332
17,berry,0,31.813,13.0296,0.1508,53.7413,0,37.4894,0,0,125.4024,2076.5089,0,4.7367,0,37.3486,0,0.1128,2.0072,2.7307,3.4303,9.876,22.6964,0,6.17,83.3642,0,1014.0318,0,157.2065,55.0502,0,33.456,0,164.6739,0,70.7641,0,217.1205,0,103.5861,0,0,0,7.7823,2.5329,358.496,198.8508,0,2.5954,0,0,0,0,57.5073,0,0,0,0,164.2289,0,0,256.1342,240.8614,0,0,68.5377,326.2106,0,140.9459,206.1345,43.7382
18,berry,0,23.185,12.8573,8.3981,42.2377,0,37.8202,0,0,238.536,2401.2893,4.9212,17.559,0,137.1624,0,0.1415,3.9958,0.6424,14.261,15.7353,41.0786,0,4.4854,78.4386,0,197.7314,0,143.6456,111.9269,0,107.6054,0,160.9629,0,114.3688,5.9462,209.8232,0,177.2524,0,0,0,14.9445,0,412.3804,355.665,24.0528,11.8527,39.4342,0,0,0,157.9834,39.4342,0,0,0,221.8509,0,0,320.8686,394.5221,0,0,0,93.6062,0,39.0319,65.4373,10.1606
19,berry,0,12.802,9.9007,2.3585,28.0353,0,46.4684,0,0,113.6363,1968.3481,1.4833,5.7539,0,57.7202,0,0.0625,1.3006,1.6329,6.3675,11.0624,14.6769,0,2.2041,57.4405,0,420.6273,0,99.1665,93.6841,0,58.474,0,192.3092,0,96.023,2.3525,242.1919,0,140.4473,0,0,0,10.5689,4.4817,400.7744,273.7481,1.5195,3.8501,49.9564,0,0,0,80.1716,49.9564,0,0,0,175.8433,0,0,248.7565,257.5331,0,0,98.9379,160.8984,0,69.6688,124.6803,43.278
20,berry,0,23.7762,0.5532,45.4244,57.1568,0,10.5592,0,0,799.0616,1282.5859,248.3641,14.3935,0,133.8183,0,14.7037,10.0102,7.7518,21.1684,1.9216,98.1055,0,10.1911,66.4516,0,276.1626,0,145.8284,151.659,0,263.2843,0,182.7801,0,284.0394,2.3935,241.1045,0,396.0227,51.1519,0,0,52.9695,20.5443,312.7672,577.6402,50.5923,50.6221,116.2109,0,0,0,41.7135,112.3176,22.9463,0,8.2183,60.875,0,0,93.8811,81.4319,0,0,68.5132,34.7273,0,14.6554,14.691,12.8249
21,berry,0,15.3843,9.4549,2.6307,35.7519,0,39.297,0,0,121.4921,2132.5607,2.7839,10.2866,0,95.4568,0,0.1808,2.1197,0.7516,5.6877,18.1221,33.9197,0,7.5516,63.8952,0,792.3014,0,151.7317,65.3046,0,65.0183,0,125.0799,0,80.3945,0,174.7344,0,132.5411,16.689,0,0,0,0,304.5541,246.6135,0,5.1645,42.2597,0,0,0,143.7316,42.2597,0,0,0,206.6898,0,0,324.4737,279.7745,0,0,68.2772,258.2581,0,109.6497,166.2723,44.6183
22,berry,0,20.0818,14.1761,1.3362,38.3149,0,52.2016,0,0,114.8785,1678.8814,0.5244,6.8951,0,44.1429,0,0.0394,1.0352,1.5983,2.2954,12.6808,7.7644,0,4.1021,66.3386,0,880.6716,0,96.0251,65.2387,0,28.4743,0,199.0459,0,93.6229,0,237.35,0,131.8586,0,0,0,15.3626,0,301.7183,210.7606,17.2583,1.5009,36.3962,0,0,0,54.2902,36.3962,0,0,0,180.2072,0,0,253.1725,185.243,0,0,210.7194,117.0658,0,49.0398,53.1628,104.1466
23,berry,0,22.8866,14.9234,9.1549,44.2393,0,42.0043,0,0,141.5376,2270.0831,13.0475,2.5656,0,348.2355,0,1.7815,13.6498,2.5119,38.2122,17.893,32.1129,0,2.9069,107.7603,0,181.8047,0,182.0768,157.0877,0,284.8327,0,183.7746,0,317.4758,23.8209,228.5211,0,418.8758,53.0557,0,0,57.1704,17.9033,315.6275,685.8459,55.099,44.7815,124.6683,0,0,0,28.0128,118.1687,10.8576,0,2.6457,33.8599,0,0,48.2607,57.29,0,0,14.5066,43.8127,0,17.7132,20.439,0
24,berry,0,20.693,12.5405,8.1129,36.2857,0,32.0739,0,0,78.2395,1661.9534,12.2731,0.261,0,268.5369,0,0.793,8.2791,2.1244,23.2597,13.9832,39.1321,0,9.4568,87.3529,0,858.283,0,146.1379,150.6866,0,232.7889,0,196.0794,0,267.812,22.1585,237.9504,0,415.8298,44.6459,0,0,38.2937,19.6575,315.1815,587.9088,46.8408,40.9941,103.201,0,0,0,28.4639,99.3038,10.9302,0,5.439,38.3875,0,0,51.8356,23.5453,0,0,173.8507,95.0056,0,41.5905,2.3581,34.8048
25,berry,0,16.8607,18.0277,4.3753,33.7102,0,52.7341,0,0,27.5256,1685.9533,3.4951,1.2506,10.7571,213.2593,0,0.1533,8.2511,0.8002,14.9583,15.9832,16.3348,0,23.5153,56.8578,0,904.4602,0,117.5615,141.4872,0,223.0513,0,176.3543,0,227.0175,18.0711,225.0399,0,357.44,41.6129,0,0,43.1418,16.8413,236.1047,418.8338,42.4419,29.0613,82.5971,0,0,0,59.9461,82.5971,0,0,0,81.1118,0,0,121.301,61.456,0,0,161.1824,80.4826,0,35.6589,9.4012,63.9088
26,berry,0,20.2676,14.6105,3.0018,38.7969,0,36.0159,0,0,54.4271,1688.6904,7.0066,0.8619,0,206.278,0,0.3971,7.5887,1.6608,19.3631,16.5222,31.3475,0,6.3802,77.9915,0,1071.202,0,130.4792,136.5943,0,190.007,0,185.7977,0,208.0641,15.3348,223.7942,0,271.4185,0,0,0,41.2869,12.7991,248.2766,432.5047,32.6729,23.8552,84.7976,0,0,0,47.676,75.7882,0,0,0,71.3271,0,0,112.1004,44.4837,0,0,187.572,207.6211,0,91.0086,14.3566,74.0321
27,berry,0,22.2121,11.2495,11.6983,44.042,0,35.0104,0,0,135.0484,2090.5311,21.4392,1.6672,0,264.7892,0,1.4438,12.098,2.6278,27.4185,13.0111,47.1727,0,4.728,80.4417,0,408.2047,0,149.5649,166.0544,0,311.9763,0,172.3803,0,304.1118,25.5475,226.261,0,467.4721,48.9285,0,0,44.0132,0,334.5744,703.294,74.3242,68.886,133.2968,0,0,0,24.1648,120.5237,0,0,0,19.7025,0,0,31.0514,18.5207,0,0,100.6545,15.6845,0,6.1294,1.7607,9.1625
28,berry,0,21.2232,16.168,7.3715,42.0738,0,42.9774,0,0,101.6925,2182.6091,0.7707,11.9784,0,99.5817,0,0.0367,2.6315,2.0682,11.8029,14.2438,42.0412,0,4.2793,94.6313,0,302.4977,0,171.1537,132.2795,0,86.5747,0,211.5736,0,108.3262,6.4095,275.7683,0,158.3831,18.972,0,0,19.0515,7.0446,425.8021,254.5155,0,6.054,42.5276,0,0,0,176.7513,42.5276,0,0,0,240.9562,0,0,359.4564,339.1132,0,0,0,123.1715,0,53.0514,71.0833,8.4533
29,berry,0,22.7789,15.5042,13.97,44.975,0,43.8582,0,0,251.9593,1963.9695,40.9609,0,0,244.1947,0,4.4844,9.5524,2.3023,22.1732,12.9869,45.9161,0,1.5793,88.1272,0,264.9479,0,151.7347,181.2547,0,226.4451,0,241.9925,0,267.8104,19.3247,300.4036,0,363.9606,45.3724,0,0,44.8707,0,395.3009,530.9661,32.3473,21.0552,97.0449,0,0,0,62.4732,97.0449,1.2524,0,3.8289,79.6374,0,0,110.9834,100.3832,0,0,27.2304,26.5097,0,11.5894,2.6529,9.8745
30,berry,0,23.3934,7.1,6.3706,37.1395,0,35.8357,0,0,130.1987,1808.1658,6.6562,1.1694,0,224.7738,0,0.6174,4.1896,1.6334,10.8435,12.4504,23.6302,0,31.4281,80.8476,0,629.1513,0,128.6624,94.3846,0,195.8097,0,158.7176,0,293.9678,16.6532,192.9615,0,375.6597,0,0,0,50.5083,14.7584,283.9399,631.1449,41.2229,33.3453,102.7074,0,0,0,59.8694,95.7474,0,0,0,98.8018,0,0,133.8626,122.6579,0,0,199.9603,93.8522,0,38.77,24.1253,46.6628
31,berry,0,21.6705,19.4103,10.1253,45.1169,0,46.6721,0,0,77.6169,2125.9443,10.4473,1.134,0,339.903,0,1.2316,14.8936,1.4951,31.9266,17.3716,27.9318,0,2.1472,109.4758,0,145.2345,0,192.0907,165.2012,0,314.0382,0,205.731,0,373.2787,28.328,256.5327,0,555.0171,60.3376,0,0,67.2591,18.413,321.9601,665.9484,48.1954,51.6821,123.3131,0,0,0,17.3016,111.9932,0,0,6.4784,24.9331,0,0,32.0638,48.2225,0,0,12.2767,7.4019,0,4.0435,3.7041,0
32,berry,0,27.4276,19.1933,8.6986,48.8966,0,45.5024,0,0,133.7083,2266.6227,7.9309,1.3763,0,258.7452,0,0,7.8053,2.2422,20.1351,17.6262,27.761,0,2.0303,134.7928,0,151.2171,0,222.4081,112.9595,0,215.3195,0,173.1583,0,298.441,17.5813,212.798,0,447.7212,50.3179,0,0,53.7656,15.7909,345.5094,660.1316,8.3269,34.327,114.6137,0,0,0,80.4494,114.6137,4.9743,0,5.2446,112.0907,0,0,160.8381,179.0562,0,0,19.3783,16.7898,0,6.0113,9.4936,0
