Sample,Rb1,RG1,RE,RC,Rb2,Ro,Rd,Rf,RG2,Rb3,Rg3,F2,Rh1,Total
PG049,0.42740896,0.19620304,0.27028672,0.1896576,0.2147816,0.0777128,0.04891568,0.04740912,0.0345312,0.02997104,0.0030184,0.00126896,0.00085888,1.542024
PG050,0.51108816,0.32676512,0.27249904,0.21294064,0.24256672,0.09896128,0.05074608,0.07325824,0.03466672,0.03454176,0.00191312,0.00046288,0.00079024,1.8612
PG051,0.36880272,0.27507744,0.07024864,0.15046768,0.1804176,0.03918816,0.06008816,0.05421152,0.00139392,0.02406096,0.0040656,0.0057728,0.00286352,1.23665872
PG054,0.29850304,0.16959888,0.13994992,0.12834096,0.15164864,0.04547664,0.06315056,0.03721696,0.01910128,0.02057792,0.0035992,0.00277728,0.00139216,1.08133344
PG055,0.31223632,0.23237808,0.0742808,0.12617616,0.14699168,0.02134528,0.05006848,0.04747776,0.00240768,0.0211288,0.00267696,0.0019712,0.0012496,1.0403888
PG056,0.42751104,0.23474352,0.21243024,0.1407824,0.16782128,0.0432256,0.0524744,0.05380496,0.02996928,0.0233024,0.00404624,0.0058872,0.002244,1.39824256
PG058,0.401764,0.27569168,0.28077456,0.11102432,0.07862096,0.10536592,0.0426184,0.05490496,0.02939904,0.0156904,0.00221232,0.00138512,0.00045584,1.39990752
PG060,0.29121136,0.20709216,0.22744832,0.08458736,0.05152048,0.0402072,0.07249264,0.0413688,0.0289432,0.01265264,0.00501248,0.00727232,0.002772,1.07258096
PG061,0.4338752,0.20137744,0.2504304,0.123332,0.142736,0.06754352,0.0490248,0.04214848,0.02834656,0.02178352,0.00176528,0.0005104,0.00033968,1.36321328
PG062,0.35825856,0.3262512,0.17003536,0.107976,0.07744176,0.09934144,0.05772448,0.05491376,0.0142912,0.0149336,0.00268752,0.00203456,0.00211728,1.28800672
PG063,0.25834512,0.13186976,0.1958,0.07904688,0.05603664,0.07293616,0.03727504,0.01957824,0.02325312,0.01225488,0.00357808,0.00148544,0,0.89145936
PG064,0.42191248,0.30657264,0.27749568,0.11701712,0.0850344,0.11235488,0.04376944,0.06099984,0.03077712,0.01677808,0.00193248,0.0007216,0.00075152,1.47611728
PG065,0.34416976,0.22379984,0.09661872,0.10581472,0.13109712,0.03808288,0.05850592,0.04753056,0.01459216,0.01692416,0.00393888,0.005104,0.00214544,1.08832416
PG067,0.4998664,0.24319328,0.3363448,0.23625184,0.27197632,0.07428608,0.08224128,0.05893712,0.0388784,0.04112416,0.0023144,0.00158576,0.00051568,1.88751552
PG068,0.25505392,0.23223552,0.05982944,0.09361792,0.09414064,0.03424608,0.05241632,0.05488032,0.00203984,0.01502336,0.00500192,0.00605968,0.00269984,0.9072448
PG069,0.36211648,0.28537168,0.30096176,0.1434664,0.0928664,0.09511744,0.05052256,0.05199744,0.03871472,0.01820896,0.00247808,0.0003432,0.00081488,1.44298
PG070,0.4194696,0.37453504,0.27149232,0.15489936,0.13376528,0.09446448,0.0577456,0.08009408,0.0278784,0.02088064,0.00172304,0.0002376,0.00169664,1.63888208
PG071,0.5822784,0.41577008,0.23192576,0.21232112,0.21564752,0.08996416,0.07815456,0.06700848,0.02252448,0.03342944,0.00499136,0.00498432,0.00241296,1.96141264
PG072,0.46585088,0.35795056,0.10656272,0.17161936,0.20177344,0.09217824,0.0526328,0.0797192,0.00397056,0.02663408,0.00157696,0.0002464,0.00278256,1.56349776
PG073,0.48219072,0.36711136,0.1161512,0.15458784,0.18774976,0.10937344,0.05444384,0.07370704,0.00209792,0.02574528,0.00256432,0.00247808,0.00152592,1.57972672
PG074,0.54750784,0.34855392,0.32054704,0.22255552,0.24808608,0.10212752,0.06974704,0.06891104,0.03831344,0.03690016,0.00215072,0.00043824,0.00112464,2.0069632
PG075,0.51859104,0.13992528,0.09475312,0.13675024,0.09831712,0.08637376,0.06067952,0.02703536,0.0123112,0.01959936,0.00627088,0.00491568,0.0001672,1.20568976
